"code_muni";"dom_resp_h_branca";"dom_resp_h_preta";"dom_resp_h_amarela";"dom_resp_h_parda";"dom_resp_h_indigena";"dom_resp_m_branca";"dom_resp_m_preta";"dom_resp_m_amarela";"dom_resp_m_parda";"dom_resp_m_indigena"
"1100015";1491;380;13;2191;98;1241;216;9;1999;61
"1100023";5671;2422;66;9764;20;5393;1816;65;9547;19
"1100031";552;134;5;681;1;264;42;2;285;1
"1100049";6489;1791;80;8705;233;5402;1247;83;7804;95
"1100056";1036;208;7;1425;3;1193;213;21;1763;7
"1100064";1179;330;7;1834;5;957;256;8;1415;NA
"1100072";644;217;1;1194;7;251;90;2;433;3
"1100080";727;331;3;1537;62;333;181;1;911;75
"1100098";2836;577;13;3065;103;1590;332;9;1912;38
"1100106";1057;706;13;3482;729;908;652;26;3906;335
"1100114";3339;1319;15;6239;18;2325;910;15;4760;15
"1100122";7851;2815;73;13415;270;6561;2022;84;11869;74
"1100130";1972;882;17;4306;9;998;427;4;2275;4
"1100148";1317;397;11;1796;3;745;189;15;1323;3
"1100155";2436;839;31;4229;12;1856;570;35;3312;8
"1100189";2338;699;35;3827;67;1872;467;23;2992;41
"1100205";18199;9602;258;45889;502;18437;8084;354;50252;440
"1100254";1410;365;11;2481;2;1062;223;9;1669;1
"1100262";284;107;1;457;1;121;40;2;238;3
"1100288";4302;1190;33;6435;22;3063;747;27;5162;22
"1100296";513;175;9;917;1;376;125;8;634;NA
"1100304";7363;1859;65;9312;92;6371;1345;66;8476;71
"1100320";1686;576;16;2495;29;972;357;17;1729;8
"1100338";1298;614;11;3093;122;771;317;7;2167;73
"1100346";1152;422;6;1750;4;516;199;4;765;NA
"1100379";991;303;1;1640;17;304;120;NA;659;5
"1100403";1146;374;1;2167;5;648;205;1;1223;NA
"1100452";1953;674;23;3654;9;1016;344;20;2227;9
"1100502";706;201;2;1118;1;292;58;2;419;NA
"1100601";342;159;4;564;2;122;66;NA;225;NA
"1100700";621;253;3;1368;NA;237;71;3;516;NA
"1100809";958;539;20;2682;29;581;347;22;2235;23
"1100908";296;92;1;469;2;97;30;NA;210;2
"1100924";548;269;NA;912;45;409;205;NA;793;34
"1100940";814;440;13;1852;6;525;258;12;1283;5
"1101005";601;261;2;1245;10;210;92;4;464;11
"1101104";423;220;3;1130;7;231;111;1;783;2
"1101203";653;143;NA;787;1;285;67;2;444;1
"1101302";727;235;2;1245;20;425;110;6;732;6
"1101401";789;328;8;1408;6;512;191;4;980;7
"1101435";479;191;2;851;NA;217;78;NA;417;4
"1101450";342;123;NA;548;17;130;65;1;248;8
"1101468";143;65;NA;164;1;82;80;5;210;2
"1101476";170;43;NA;237;1;276;41;1;364;NA
"1101484";557;101;7;763;NA;190;32;1;311;NA
"1101492";1398;367;4;2029;79;640;168;6;1063;45
"1101500";964;292;9;1564;10;424;92;3;581;12
"1101559";331;142;2;652;1;153;36;1;263;1
"1101609";674;232;5;1270;3;244;83;2;494;1
"1101708";739;224;5;1615;4;371;106;10;877;1
"1101757";609;265;3;1169;5;219;91;NA;464;NA
"1101807";462;190;NA;994;1;207;69;1;523;1
"1200013";730;463;17;1713;6;359;196;5;977;5
"1200054";157;94;1;769;166;202;73;2;872;92
"1200104";891;399;8;3367;21;664;304;9;2982;41
"1200138";400;401;14;1427;9;311;331;11;1282;7
"1200179";222;227;6;1381;NA;169;177;10;1274;4
"1200203";2534;1429;17;8415;193;2680;1275;28;9969;206
"1200252";589;396;1;2478;3;495;249;8;2256;5
"1200302";1030;525;2;2938;571;858;350;4;2852;251
"1200328";150;128;NA;629;474;61;57;1;401;108
"1200336";385;273;6;1870;363;362;221;9;2006;199
"1200344";283;311;3;1271;114;149;178;1;904;30
"1200351";441;305;5;1832;475;174;118;13;799;159
"1200385";552;377;4;2126;9;399;278;8;1799;4
"1200393";307;140;1;1023;113;191;73;NA;721;42
"1200401";12620;7328;178;37771;251;13235;6947;287;45019;282
"1200427";385;290;8;1744;16;253;147;7;1345;7
"1200435";72;22;NA;303;516;58;9;NA;221;144
"1200450";638;455;14;2699;6;462;340;7;2337;7
"1200500";942;496;7;4945;268;869;410;10;4613;75
"1200609";1090;667;6;3843;432;941;517;14;3589;188
"1200708";523;410;12;2696;12;359;249;6;1817;8
"1200807";608;577;5;2009;13;359;333;12;1510;23
"1300029";129;109;1;1327;322;79;57;NA;1091;284
"1300060";46;75;1;564;838;18;16;NA;348;250
"1300086";140;61;1;1049;82;94;48;NA;814;27
"1300102";227;215;2;1791;72;193;99;1;1522;25
"1300144";1094;421;12;1875;30;689;252;14;1364;40
"1300201";154;125;1;757;1033;145;60;3;701;411
"1300300";706;250;7;3345;1871;454;121;3;2442;1812
"1300409";171;114;4;1037;1245;104;62;2;838;697
"1300508";317;328;3;2226;971;207;302;3;2200;343
"1300607";281;193;1;2048;1521;285;180;1;2408;825
"1300631";261;174;NA;1714;213;192;92;2;1754;158
"1300680";103;66;NA;2414;40;83;30;2;1797;62
"1300706";1276;566;5;3791;262;856;371;12;2850;185
"1300805";421;224;5;2779;832;334;169;3;2718;505
"1300839";157;83;NA;1146;6;135;50;NA;1389;5
"1300904";464;178;1;1846;142;321;76;3;1396;125
"1301001";624;426;2;2704;56;517;284;3;2583;43
"1301100";812;406;10;3758;170;587;214;8;2992;119
"1301159";609;309;5;2505;179;276;109;5;1674;115
"1301209";1025;809;13;6789;577;802;573;15;6541;436
"1301308";368;244;1;2670;5;269;118;1;1892;8
"1301407";697;458;1;2580;243;653;422;2;2975;107
"1301506";532;232;NA;1416;103;428;157;NA;1243;78
"1301605";301;237;2;2139;471;180;133;NA;1723;169
"1301654";353;176;2;1319;18;298;145;1;1290;11
"1301704";1853;807;7;5076;411;1242;501;15;4287;242
"1301803";435;220;1;1836;192;374;153;5;1519;88
"1301852";1327;896;30;6654;139;1069;498;22;7043;134
"1301902";2180;1129;20;10832;309;1677;665;21;10655;236
"1301951";183;91;NA;685;236;183;93;NA;828;35
"1302009";182;74;4;1062;13;141;47;2;1067;11
"1302108";93;71;NA;585;241;63;62;1;515;108
"1302207";153;156;1;868;75;130;138;4;939;65
"1302306";179;105;2;1731;685;179;81;NA;1605;281
"1302405";1144;465;6;3946;961;679;284;10;2983;800
"1302504";1505;902;6;10871;119;1341;557;9;11462;129
"1302553";298;212;3;2052;137;253;67;2;1823;113
"1302603";62667;24259;1036;201951;2713;69064;19726;861;244468;3808
"1302702";1332;509;10;4799;485;865;234;10;3615;334
"1302801";157;151;1;1278;286;76;68;1;904;103
"1302900";617;320;8;5585;1238;465;169;4;4644;244
"1303007";178;64;NA;2564;134;159;43;2;1407;26
"1303106";400;200;2;2374;402;301;126;3;2342;366
"1303205";190;209;3;1106;371;208;163;1;1642;277
"1303304";382;261;1;2021;71;221;144;1;1659;36
"1303403";1157;629;22;8839;240;1122;454;26;11230;200
"1303502";314;175;1;1427;357;262;109;1;1112;208
"1303536";887;485;10;3811;167;643;301;12;3042;41
"1303569";591;416;9;2837;100;500;255;6;3005;106
"1303601";45;33;3;235;1467;23;15;1;164;756
"1303700";137;121;NA;1434;1671;82;40;1;969;801
"1303809";375;123;3;700;6146;122;48;1;383;2750
"1303908";118;57;3;1282;2334;64;37;NA;1106;1014
"1303957";232;69;2;1195;11;135;37;1;1000;7
"1304005";107;150;3;1081;35;107;93;1;1177;73
"1304062";785;400;12;3504;2841;721;274;11;3591;1742
"1304104";353;259;NA;1990;376;222;120;NA;1340;132
"1304203";879;689;5;6848;945;622;361;7;6393;719
"1304237";71;54;NA;1185;807;64;22;NA;835;343
"1304260";114;70;2;1336;333;110;23;1;828;241
"1304302";256;121;4;2160;28;144;26;1;1534;9
"1304401";484;106;3;2276;7;302;66;4;1982;7
"1400027";173;119;3;576;1060;120;73;4;415;505
"1400050";251;144;1;979;1605;198;135;1;1046;715
"1400100";13396;6572;113;34742;1978;14142;5618;139;40067;2698
"1400159";191;115;2;849;837;108;90;NA;777;533
"1400175";450;315;2;1811;523;310;169;1;1380;494
"1400209";457;413;11;2049;206;404;272;13;2173;100
"1400233";455;275;NA;1156;138;253;149;1;694;19
"1400282";229;237;1;998;271;148;161;2;805;75
"1400308";538;383;2;2119;103;366;174;NA;1621;54
"1400407";84;39;1;360;1227;35;13;NA;282;690
"1400456";340;160;2;635;1224;331;107;NA;623;664
"1400472";996;731;11;3671;142;725;469;10;3277;41
"1400506";310;252;NA;890;99;187;152;NA;702;12
"1400605";284;233;3;949;5;159;111;1;516;3
"1400704";35;8;NA;79;1468;13;5;1;66;671
"1500107";3439;2962;13;16519;18;3195;2225;31;14627;19
"1500131";208;131;NA;661;2;213;116;NA;667;5
"1500206";881;1704;17;6933;5;668;1280;9;5568;6
"1500305";715;473;7;4274;2;444;306;3;2821;2
"1500347";1048;600;3;2509;35;350;159;2;909;9
"1500404";1625;1007;7;7737;6;1113;678;12;5741;6
"1500503";596;488;6;3339;212;515;366;1;3566;40
"1500602";5009;2851;62;12862;902;3876;2271;80;12731;658
"1500701";406;292;NA;3096;1;335;207;2;2037;1
"1500800";14366;9973;171;46613;104;16268;10367;201;56798;118
"1500859";1173;847;35;3799;187;574;454;46;2247;52
"1500909";625;306;1;5160;2;541;244;1;5496;2
"1500958";463;526;1;2555;9;375;408;6;2321;5
"1501006";278;260;4;1839;494;196;123;3;1319;135
"1501105";361;545;1;3151;1;190;188;NA;1328;NA
"1501204";761;1977;2;4586;8;537;1200;3;3048;3
"1501253";171;131;1;616;29;62;47;2;268;2
"1501303";3102;2263;46;13984;55;2368;1735;45;14356;59
"1501402";44033;25905;628;119139;368;52193;29397;691;150473;430
"1501451";362;203;10;1944;86;295;154;14;2199;97
"1501501";1558;1252;24;6565;15;1700;1175;22;8177;21
"1501576";787;297;4;1669;143;336;215;1;1566;100
"1501600";424;201;1;2070;NA;213;89;1;1225;NA
"1501709";2273;1130;12;14373;30;2050;922;11;16265;24
"1501725";1296;732;6;2518;86;684;355;3;1532;12
"1501758";205;161;1;762;8;146;146;2;686;15
"1501782";1174;1042;9;4724;18;1066;886;12;4607;21
"1501808";1569;1347;16;10704;26;1256;962;22;8447;17
"1501907";390;584;4;2845;3;255;445;NA;2575;9
"1501956";342;404;2;1758;5;327;434;1;2346;8
"1502004";263;635;NA;2392;3;233;488;4;2533;2
"1502103";2934;2106;10;14921;33;2057;1331;4;9922;18
"1502152";2884;1932;49;9568;33;1869;1165;33;6839;12
"1502202";2481;850;31;8140;28;2275;706;20;8533;15
"1502301";1245;676;11;6938;10;1139;545;9;7639;14
"1502400";6167;3241;149;20403;49;6369;3313;131;24025;22
"1502509";283;448;9;1972;4;181;318;5;1528;1
"1502608";246;154;NA;1226;4;296;158;2;1908;4
"1502707";1866;1477;21;5461;26;1230;1004;41;4032;27
"1502756";526;817;5;2867;5;455;647;10;2641;5
"1502764";513;391;NA;1267;365;166;144;1;719;84
"1502772";634;465;2;2149;6;554;450;5;2144;7
"1502806";541;458;5;4186;2;337;250;1;2389;3
"1502855";239;176;NA;1555;3;199;126;1;1603;4
"1502905";895;469;7;4398;6;1001;355;4;5008;5
"1502939";2020;1066;15;4661;12;1687;959;19;4914;10
"1502954";1034;795;4;3403;10;660;521;3;2490;5
"1503002";141;50;NA;925;17;102;24;NA;840;2
"1503044";716;510;7;2113;5;517;314;6;1790;11
"1503077";494;295;3;3090;5;458;313;6;3053;1
"1503093";766;585;3;2833;27;681;515;3;2870;15
"1503101";618;440;1;3842;8;324;188;1;1945;13
"1503200";943;445;19;4114;9;898;401;25;4717;9
"1503309";1584;2229;7;6815;5;995;1204;3;4095;4
"1503408";151;265;2;1064;2;147;321;2;1261;1
"1503457";614;611;3;3054;9;548;513;10;3414;4
"1503507";638;634;9;3833;3;456;525;5;3463;2
"1503606";3257;2425;23;10417;253;3258;2381;31;14265;200
"1503705";1525;1172;4;4664;85;1032;968;15;4307;23
"1503754";297;216;4;950;1654;253;184;4;1075;477
"1503804";1075;888;9;3586;10;1263;917;13;4847;11
"1503903";765;529;14;5344;23;550;316;14;4793;12
"1504000";638;291;1;3560;2;445;163;NA;2075;3
"1504059";953;571;2;3304;2;892;557;9;3613;4
"1504109";167;83;NA;1030;NA;142;61;NA;1016;1
"1504208";7760;5680;51;30381;93;6879;4768;57;30319;87
"1504307";550;288;NA;2996;3;564;246;2;3072;4
"1504406";532;327;NA;3507;2;531;207;NA;3286;2
"1504422";2656;1915;16;10729;17;3399;2238;26;14872;31
"1504455";1209;767;13;3971;5;543;375;15;2066;3
"1504505";387;656;4;2832;2;244;252;2;1334;3
"1504604";613;555;1;2639;9;462;422;3;2149;3
"1504703";1751;2352;10;10369;48;1190;1612;14;7677;24
"1504752";680;327;6;3158;14;478;212;8;2597;5
"1504802";1674;858;25;7956;16;1121;467;21;6180;20
"1504901";799;433;NA;5910;NA;505;263;1;2740;NA
"1504950";578;315;7;2657;6;323;187;2;1954;6
"1504976";318;511;2;1508;4;351;408;2;1484;1
"1505007";358;201;3;1770;2;308;164;2;1758;NA
"1505031";1649;504;5;2817;12;1710;533;17;3208;6
"1505064";1860;1439;19;6762;165;1326;1106;35;5829;20
"1505106";1029;1249;3;5118;177;952;899;4;5158;23
"1505205";322;652;1;3441;7;241;484;2;2944;1
"1505304";1352;1424;5;5962;694;1083;1193;8;6142;103
"1505403";350;316;4;1976;9;307;401;3;2392;7
"1505437";1130;692;3;3066;198;1139;622;5;3488;43
"1505486";1271;1026;5;5103;6;762;636;3;3663;8
"1505494";234;195;NA;806;NA;128;147;1;689;NA
"1505502";3157;2106;20;10561;205;2885;2058;39;11838;134
"1505536";9261;6118;84;29894;324;7432;4962;82;29490;84
"1505551";197;135;NA;669;36;186;133;1;864;9
"1505601";293;147;4;1298;2;219;75;1;908;NA
"1505635";448;476;3;1814;1;221;228;8;871;3
"1505650";875;563;3;1993;4;514;350;11;1570;NA
"1505700";552;461;3;3083;11;399;333;1;2246;2
"1505809";855;697;6;5491;9;725;502;1;5004;2
"1505908";468;373;3;4037;15;459;290;2;3414;11
"1506005";585;653;5;4090;5;403;343;4;3146;3
"1506104";212;129;2;1431;1;222;92;1;1446;NA
"1506112";253;114;2;1285;4;336;118;1;1537;1
"1506138";3441;2314;17;8738;35;2903;1971;25;8559;34
"1506161";844;509;19;2215;14;620;386;15;1876;8
"1506187";2138;901;1;5964;23;1225;632;3;4462;13
"1506195";1260;761;7;3181;14;821;472;3;2586;12
"1506203";990;491;9;5235;17;870;332;7;5524;16
"1506302";359;757;3;2174;5;359;911;3;2827;6
"1506351";444;450;3;2454;4;424;359;2;2656;7
"1506401";115;253;2;470;1;79;267;2;582;1
"1506500";1525;1380;68;7729;17;1499;1189;42;8028;23
"1506559";482;339;2;2100;111;446;270;5;2463;101
"1506583";885;555;7;2423;12;268;184;2;1092;16
"1506609";830;322;8;3276;64;693;266;15;2927;66
"1506708";1242;916;15;3310;29;889;824;18;3305;11
"1506807";8608;4613;85;32593;1289;7682;3936;68;35442;1322
"1506906";114;91;3;855;NA;97;68;NA;742;1
"1507003";688;400;14;3169;9;673;330;9;3527;7
"1507102";355;192;1;1718;2;369;168;4;2373;2
"1507151";636;472;4;2228;8;512;453;8;2481;10
"1507201";605;732;2;4170;2;287;401;NA;2272;1
"1507300";2917;1572;19;9195;394;1232;879;13;4555;85
"1507409";349;186;4;1824;6;380;165;2;2031;5
"1507458";796;653;5;2762;70;603;549;3;2235;44
"1507466";66;32;NA;646;1;54;28;NA;630;NA
"1507474";420;211;4;2489;2;462;158;1;2809;2
"1507508";395;428;3;1742;7;210;285;3;1331;1
"1507607";807;1129;7;6064;8;767;1018;7;6587;8
"1507706";656;388;7;3170;5;361;134;5;1829;5
"1507755";169;99;1;596;2;197;70;NA;646;1
"1507805";571;629;2;2677;131;317;326;14;1847;89
"1507904";310;607;1;2007;4;361;857;4;2929;6
"1507953";1989;1766;24;7121;14;1719;1375;43;7536;24
"1507961";250;145;3;1262;NA;231;102;3;1360;1
"1507979";436;155;2;2100;4;310;79;NA;1914;1
"1508001";1593;1511;126;7198;75;1234;1202;50;6801;62
"1508035";380;233;2;4136;4;323;177;NA;3480;5
"1508050";606;266;2;1633;55;385;238;2;1478;24
"1508084";1943;826;14;4273;11;1485;561;14;3704;6
"1508100";2795;1918;22;8559;89;2610;1844;14;9514;85
"1508126";1428;617;3;3066;9;985;569;15;3015;9
"1508159";1956;1168;2;5708;19;1202;612;4;3603;17
"1508209";1460;734;7;5178;5;1604;601;6;6190;10
"1508308";763;646;1;6500;15;798;542;9;6966;16
"1508357";376;482;4;1490;63;314;279;7;1821;79
"1508407";2326;1251;15;6258;12;1765;839;23;5451;13
"1600055";171;104;1;587;1;95;49;NA;365;1
"1600105";130;120;NA;659;NA;154;123;2;872;1
"1600154";273;249;3;1117;247;223;197;1;980;9
"1600204";175;267;3;781;5;180;278;NA;1095;2
"1600212";48;65;1;350;NA;54;67;NA;574;NA
"1600238";107;169;1;607;NA;116;160;NA;637;NA
"1600253";103;106;1;510;NA;62;90;4;485;1
"1600279";730;869;2;3470;26;695;647;9;3884;14
"1600303";11579;9127;91;35764;191;13112;9531;99;43917;182
"1600402";360;524;8;2037;4;289;384;2;1726;3
"1600501";439;459;7;1673;1046;490;418;NA;2254;355
"1600535";384;323;6;1816;5;382;254;13;1834;7
"1600550";47;70;NA;303;NA;56;59;NA;378;1
