"","Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Unidade da Federação (Código)","Unidade da Federação","Ano (Código)","Ano","Variável (Código)","Variável","Sexo (Código)","Sexo","Idade (Código)","Idade","Forma de declaração da idade (Código)","Forma de declaração da idade"
"2","3","Unidade da Federação","45","Pessoas",1581196,"11","Rondônia","2022","2022","93","População residente","6794","Total","100362","Total","113635","Total"
"3","3","Unidade da Federação","45","Pessoas",1295017,"11","Rondônia","2022","2022","93","População residente","6794","Total","100362","Total","6555","Data de nascimento"
"4","3","Unidade da Federação","45","Pessoas",286179,"11","Rondônia","2022","2022","93","População residente","6794","Total","100362","Total","6556","Idade presumida"
"5","3","Unidade da Federação","45","Pessoas",113450,"11","Rondônia","2022","2022","93","População residente","6794","Total","93070","0 a 4 anos","113635","Total"
"6","3","Unidade da Federação","45","Pessoas",97840,"11","Rondônia","2022","2022","93","População residente","6794","Total","93070","0 a 4 anos","6555","Data de nascimento"
"7","3","Unidade da Federação","45","Pessoas",15610,"11","Rondônia","2022","2022","93","População residente","6794","Total","93070","0 a 4 anos","6556","Idade presumida"
"8","3","Unidade da Federação","45","Pessoas",21672,"11","Rondônia","2022","2022","93","População residente","6794","Total","6557","Menos de 1 ano","113635","Total"
"9","3","Unidade da Federação","45","Pessoas",19559,"11","Rondônia","2022","2022","93","População residente","6794","Total","6557","Menos de 1 ano","6555","Data de nascimento"
"10","3","Unidade da Federação","45","Pessoas",2113,"11","Rondônia","2022","2022","93","População residente","6794","Total","6557","Menos de 1 ano","6556","Idade presumida"
"11","3","Unidade da Federação","45","Pessoas",1668,"11","Rondônia","2022","2022","93","População residente","6794","Total","93071","Menos de 1 mês","113635","Total"
"12","3","Unidade da Federação","45","Pessoas",1636,"11","Rondônia","2022","2022","93","População residente","6794","Total","93071","Menos de 1 mês","6555","Data de nascimento"
"13","3","Unidade da Federação","45","Pessoas",32,"11","Rondônia","2022","2022","93","População residente","6794","Total","93071","Menos de 1 mês","6556","Idade presumida"
"14","3","Unidade da Federação","45","Pessoas",1737,"11","Rondônia","2022","2022","93","População residente","6794","Total","93072","1 mês","113635","Total"
"15","3","Unidade da Federação","45","Pessoas",1518,"11","Rondônia","2022","2022","93","População residente","6794","Total","93072","1 mês","6555","Data de nascimento"
"16","3","Unidade da Federação","45","Pessoas",219,"11","Rondônia","2022","2022","93","População residente","6794","Total","93072","1 mês","6556","Idade presumida"
"17","3","Unidade da Federação","45","Pessoas",1852,"11","Rondônia","2022","2022","93","População residente","6794","Total","93073","2 meses","113635","Total"
"18","3","Unidade da Federação","45","Pessoas",1694,"11","Rondônia","2022","2022","93","População residente","6794","Total","93073","2 meses","6555","Data de nascimento"
"19","3","Unidade da Federação","45","Pessoas",158,"11","Rondônia","2022","2022","93","População residente","6794","Total","93073","2 meses","6556","Idade presumida"
"20","3","Unidade da Federação","45","Pessoas",1808,"11","Rondônia","2022","2022","93","População residente","6794","Total","93074","3 meses","113635","Total"
"21","3","Unidade da Federação","45","Pessoas",1627,"11","Rondônia","2022","2022","93","População residente","6794","Total","93074","3 meses","6555","Data de nascimento"
"22","3","Unidade da Federação","45","Pessoas",181,"11","Rondônia","2022","2022","93","População residente","6794","Total","93074","3 meses","6556","Idade presumida"
"23","3","Unidade da Federação","45","Pessoas",1946,"11","Rondônia","2022","2022","93","População residente","6794","Total","93075","4 meses","113635","Total"
"24","3","Unidade da Federação","45","Pessoas",1728,"11","Rondônia","2022","2022","93","População residente","6794","Total","93075","4 meses","6555","Data de nascimento"
"25","3","Unidade da Federação","45","Pessoas",218,"11","Rondônia","2022","2022","93","População residente","6794","Total","93075","4 meses","6556","Idade presumida"
"26","3","Unidade da Federação","45","Pessoas",1614,"11","Rondônia","2022","2022","93","População residente","6794","Total","93076","5 meses","113635","Total"
"27","3","Unidade da Federação","45","Pessoas",1445,"11","Rondônia","2022","2022","93","População residente","6794","Total","93076","5 meses","6555","Data de nascimento"
"28","3","Unidade da Federação","45","Pessoas",169,"11","Rondônia","2022","2022","93","População residente","6794","Total","93076","5 meses","6556","Idade presumida"
"29","3","Unidade da Federação","45","Pessoas",1800,"11","Rondônia","2022","2022","93","População residente","6794","Total","93077","6 meses","113635","Total"
"30","3","Unidade da Federação","45","Pessoas",1571,"11","Rondônia","2022","2022","93","População residente","6794","Total","93077","6 meses","6555","Data de nascimento"
"31","3","Unidade da Federação","45","Pessoas",229,"11","Rondônia","2022","2022","93","População residente","6794","Total","93077","6 meses","6556","Idade presumida"
"32","3","Unidade da Federação","45","Pessoas",1872,"11","Rondônia","2022","2022","93","População residente","6794","Total","93078","7 meses","113635","Total"
"33","3","Unidade da Federação","45","Pessoas",1722,"11","Rondônia","2022","2022","93","População residente","6794","Total","93078","7 meses","6555","Data de nascimento"
