"uf_code";"rend_media_h_branca";"rend_media_h_preta";"rend_media_h_parda";"rend_media_m_branca";"rend_media_m_preta";"rend_media_m_parda";"rend_mediana_h_branca";"rend_mediana_h_preta";"rend_mediana_h_parda";"rend_mediana_m_branca";"rend_mediana_m_preta";"rend_mediana_m_parda"
"11";3299,35;2425,07;2535,91;2827,72;1902,95;2023,82;2000;1800;1800;1800;1300;1350
"12";2932,03;1885,61;2178,7;2690,55;1928,17;2035,41;1500;1212;1212;1500;1212;1212
"13";3517,19;2145,79;2088,77;2853,37;1901,15;1855,33;1500;1212;1212;1500;1212;1212
"14";3455,06;2181,93;2369,38;3042,7;2233,57;2232,14;1800;1300;1500;1800;1212;1280
"15";2981,5;1889,76;1965,5;2594,79;1696,41;1750,52;1500;1212;1212;1300;1212;1212
"16";3074,24;2255,42;2302,71;2830,38;2219,98;2183,88;1500;1212;1248;1500;1230;1220
"17";3872,26;2218,73;2485,01;3061,55;1865,79;2128,35;2000;1500;1500;1800;1212;1212
"21";2764,72;1697,22;1722,84;2344,24;1513,71;1592,03;1212;1212;1212;1212;1212;1212
"22";2789,07;1609,54;1786,66;2376,45;1487,53;1640,02;1212;1212;1212;1212;1212;1212
"23";2807,88;1647,47;1802,04;2439,99;1440,11;1626,17;1212;1212;1212;1212;1212;1212
"24";3047,18;1766,28;2035,84;2555,02;1559,24;1752,11;1300;1212;1212;1220;1212;1212
"25";2704,83;1709,01;1893,54;2374,35;1483,31;1698,55;1212;1212;1212;1212;1212;1212
"26";3024,34;1786,47;1919,32;2754,65;1567,78;1676,35;1250;1212;1212;1212;1212;1212
"27";2795,59;1781,91;1858,95;2490,41;1552,13;1697,18;1212;1212;1212;1212;1212;1212
"28";2844,73;1826,55;2100,14;2705,53;1581,01;1775,62;1212;1212;1212;1212;1212;1212
"29";2986,57;1680,1;1890,44;2682,9;1440,01;1665,03;1212;1212;1212;1212;1212;1212
"31";3716,53;2138,37;2378,21;2750,62;1667,84;1843,66;2000;1500;1540;1567;1212;1220
"32";3883,27;2302,7;2534,43;2948,43;1809,3;1957,06;2000;1600;1700;1800;1300;1300
"33";4747,55;2309,89;2620,47;3570,86;1877,78;2038,29;2200;1500;1700;2000;1300;1350
"35";4698,78;2725,09;2719,78;3476,62;2211,87;2119,21;2500;2000;2000;2000;1600;1500
"41";4030,05;2654,48;2632,64;2985,09;2040,72;1989,28;2500;2000;2000;2000;1500;1500
"42";4145,65;2750,26;2887,19;3054,58;2188,43;2187,21;2500;2000;2000;2000;1720;1774
"43";3729,02;2276,63;2510,03;2830,12;1852,93;1935,65;2300;1800;1890;1900;1500;1500
"50";4086,86;2626,19;2676,8;3084,22;2047,95;2019,4;2400;2000;2000;1900;1450;1400
"51";4782,97;2937,81;3076,56;3606,41;2225,23;2319,94;3000;2000;2100;2000;1500;1500
"52";4079,07;2449,59;2758,09;3025,67;1905,47;2105,64;2200;1800;2000;1800;1300;1350
"53";7377,3;3550,34;3986,91;5551,89;2703,14;3271,56;3900;2000;2000;3000;1500;1600
