"code_muni";"ano";"cod_produto";"produto";"categoria";"grupo_portaria";"area_ha";"qtd_toneladas";"valor_mil_reais"
"1100015";"2023";40092;"Abacaxi";"alimento";"Frutas";4;79;217
"1100015";"2023";45982;"Açaí";"alimento";"Frutas";3;19;48
"1100015";"2023";40101;"Amendoim";"alimento";"Castanhas e Oleaginosas";3;6;51
"1100015";"2023";40102;"Arroz";"alimento";"Cereais";100;400;693
"1100015";"2023";40136;"Banana";"alimento";"Frutas";150;1230;3275
"1100015";"2023";40138;"Cacau";"alimento";"Frutas";55;31;396
"1100015";"2023";40139;"Café Total";"alimento";"Café, chá, mate e especiarias";3922;15208;161208
"1100015";"2023";40141;"Café Canephora";"alimento";"Café, chá, mate e especiarias";3922;15208;161208
"1100015";"2023";40106;"Cana-de-açúcar";"alimento";"Açúcares";5;143;112
"1100015";"2023";40145;"Coco-da-baía";"alimento";"Frutas";2;27;28
"1100015";"2023";40112;"Feijão";"alimento";"Feijões (leguminosas)";850;510;2894
"1100015";"2023";40149;"Goiaba";"alimento";"Frutas";3;24;48
"1100015";"2023";40152;"Limão";"alimento";"Frutas";8;45;113
"1100015";"2023";40261;"Mamão";"alimento";"Frutas";3;44;128
"1100015";"2023";40119;"Mandioca";"alimento";"Raízes e Tubérculos";406;8120;16330
"1100015";"2023";40263;"Maracujá";"alimento";"Frutas";5;48;185
"1100015";"2023";40120;"Melancia";"alimento";"Frutas";20;405;911
"1100015";"2023";40122;"Milho";"alimento";"Cereais";1850;7987;10357
"1100015";"2023";40269;"Pimenta-do-reino";"alimento";"Café, chá, mate e especiarias";2;1;10
"1100015";"2023";40126;"Tomate";"alimento";"Legumes e Verduras";7;245;1146
"1100015";"2023";40273;"Urucum";"alimento";"Especiarias";3;2;23
"1100015";"2023";40124;"Soja";"commodity";"Commodity exportação";1318;4824;10968
"1100015";"2024";40092;"Abacaxi";"alimento";"Frutas";5;97;319
"1100015";"2024";45982;"Açaí";"alimento";"Frutas";5;30;75
"1100015";"2024";40102;"Arroz";"alimento";"Cereais";135;405;834
"1100015";"2024";40136;"Banana";"alimento";"Frutas";146;1590;4060
"1100015";"2024";40138;"Cacau";"alimento";"Frutas";57;34;1419
"1100015";"2024";40139;"Café Total";"alimento";"Café, chá, mate e especiarias";4055;15362;261745
