tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,754,Abadia dos Dourados/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,2645,Abadiânia/GO,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,4565,Abaré/BA,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,2939,Abel Figueiredo/PA,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,756,Abre Campo/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3048,Abreulândia/TO,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,757,Acaiaca/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,4566,Acajutiba/BA,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3630,Acaraú/CE,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3631,Acopiara/CE,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,598,Acorizal/MT,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,2647,Adelândia/GO,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3814,Afonso Bezerra/RN,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3405,Agricolândia/PI,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,522,Água Clara/MS,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,760,Água Comprida/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,1608,Água Doce do Norte/ES,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,2649,Água Limpa/GO,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3815,Água Nova/RN,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,762,Águas Formosas/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,763,Águas Vermelhas/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,1783,Agudos/SP,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3049,Aguiarnópolis/TO,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3980,Aguiar/PB,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,4570,Aiquara/BA,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3983,Alagoinha/PB,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,4208,Alagoinha/PE,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,767,Albertina/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,523,Alcinópolis/MS,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3408,Alegrete do Piauí/PI,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3816,Alexandria/RN,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,769,Alfenas/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,4895,Alfredo Marcondes/SP,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3985,Algodão de Jandaíra/PB,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3986,Alhandra/PB,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,4209,Aliança/PE,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,671,Almadina/BA,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3051,Almas/TO,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3817,Almino Afonso/RN,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,2652,Aloândia/GO,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,772,Alpercata/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,774,Alterosa/MG,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,3193,Alto Alegre do Maranhão/MA,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,1787,Alto Alegre/SP,0.0
Desastres geo-hidrológicos,60025,Uso e ocupação do solo,2015,,Presente,verylow,Muito baixo,#F40000,599,Alto Araguaia/MT,0.0
