tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,2644,Abadia de Goiás/GO,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,141,Arambaré/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,4924,Barão/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,5050,Bom Jesus do Araguaia/MT,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,3451,Canavieira/PI,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,217,Coronel Barros/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,274,Gramado Xavier/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,5345,Guamiranga/PR,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,58,Guaraciaba/SC,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,3862,Ielmo Marinho/RN,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,1998,Indaiatuba/SP,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,68,Itá/SC,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,2090,Mendonça/SP,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,331,Montauri/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,380,Ponte Preta/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,388,Putinga/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,1491,São José da Barra/MG,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,453,São Pedro do Butiá/RS,0.19
Desastres geo-hidrológicos,60041,"Inundações, enxurradas e alagamentos",2015,,Presente,verylow,Muito baixo,#02C650,5288,Saudade do Iguaçu/PR,0.19
