tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,1608,Água Doce do Norte/ES,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,29,Águas Frias/SC,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,1607,Águia Branca/ES,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,4209,Aliança/PE,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,601,Alto Paraguai/MT,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,1611,Alto Rio Novo/ES,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,777,Alvarenga/MG,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,4923,Antônio Prado/RS,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,797,Araxá/MG,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,3067,Babaçulândia/TO,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,809,Bambuí/MG,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,1832,Barra do Chapéu/SP,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,1833,Barra do Turvo/SP,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,5324,Bela Vista do Paraíso/PR,0.17
Desastres geo-hidrológicos,60048,Gestão de risco,2015,,Presente,verylow,Muito baixo,#F40000,826,Bias Fortes/MG,0.17
