tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4565,Abaré/BA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,2940,Acará/PA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3404,Acauã/PI,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4567,Adustina/BA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3188,Afonso Cunha/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3189,Água Doce do Maranhão/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4568,Água Fria/BA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,763,Águas Vermelhas/MG,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3049,Aguiarnópolis/TO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3980,Aguiar/PB,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,134,Alegria/RS,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,2651,Alexânia/GO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3192,Altamira do Maranhão/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3193,Alto Alegre do Maranhão/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,1376,Alto Jequitibá/MG,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3409,Alto Longá/PI,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,602,Alto Taquari/MT,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,5459,Alvarães/AM,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,5545,Alvorada D'Oeste/RO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3411,Alvorada do Gurguéia/PI,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3052,Alvorada/TO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4872,Amaralina/GO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,2943,Ananindeua/PA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3199,Anapurus/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,2384,Angelina/SC,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4578,Anguera/BA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,2657,Anhanguera/GO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3414,Anísio de Abreu/PI,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4579,Antas/BA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3820,Antônio Martins/RN,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,2889,Apiacás/MT,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3200,Apicum-Açu/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4582,Aporá/BA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,658,Aporé/GO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4583,Apuarema/BA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,1802,Araçariguama/SP,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3056,Aragominas/TO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4949,Araguaiana/MT,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,2662,Araguapaz/GO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3202,Araioses/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,1807,Arapeí/SP,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3204,Arari/MA,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,798,Arceburgo/MG,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3994,Areia de Baraúnas/PB,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,4967,Arenópolis/GO,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3823,Arês/RN,0.0
Desastres geo-hidrológicos,60060,Gestão de resíduos e limpeza pública,2015,,Presente,verylow,Muito baixo,#F40000,3418,Arraial/PI,0.0
