tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,754,Abadia dos Dourados/MG,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,756,Abre Campo/MG,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,4202,Abreu e Lima/PE,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,2940,Acará/PA,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,2821,Acrelândia/AC,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,2646,Acreúna/GO,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,2647,Adelândia/GO,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,4204,Afrânio/PE,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,3189,Água Doce do Maranhão/MA,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,4206,Água Preta/PE,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,29,Águas Frias/SC,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,3049,Aguiarnópolis/TO,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,4571,Alagoinhas/BA,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,3190,Alcântara/MA,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,3191,Aldeias Altas/MA,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,134,Alegria/RS,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,4209,Aliança/PE,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,3051,Almas/TO,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,772,Alpercata/MG,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,3192,Altamira do Maranhão/MA,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,774,Alterosa/MG,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,2844,Alto Alegre/RR,0.0
Desastres geo-hidrológicos,60068,Governança em transporte,2015,,Presente,verylow,Muito baixo,#F40000,137,Alto Alegre/RS,0.0
