tema,indicador_id,indicador,ano,cenario_id,cenario,arquivo,linhas,status,erro
Desastres geo-hidrológicos,60001,Deslizamento de terra,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60001_deslizamento-de-terra_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60002,Vulnerabilidade,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60002_vulnerabilidade_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60003,Exposição,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60003_exposicao_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60004,Ameaça,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60004_ameaca_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60005,Capacidade adaptativa,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60005_capacidade-adaptativa_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60006,Sensibilidade,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60006_sensibilidade_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60007,Capacidade econômica municipal,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60007_capacidade-economica-municipal_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60008,Gestão de risco de desastre,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60008_gestao-de-risco-de-desastre_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60009,Política urbana,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60009_politica-urbana_2015_presente.csv,5570,ok,
Desastres geo-hidrológicos,60010,População,2015,,Presente,/home/alankubrick/Documentos/adaptabrasil_csv/desastres-geo-hidrologicos/60010_populacao_2015_presente.csv,5570,ok,
