tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2941,Água Azul do Norte/PA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3192,Altamira do Maranhão/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5060,Altamira do Paraná/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3194,Alto Alegre do Pindaré/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3052,Alvorada/TO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,4872,Amaralina/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3197,Amarante do Maranhão/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3198,Anajatuba/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3058,Araguaçu/TO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3203,Arame/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3204,Arari/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2663,Aurilândia/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3206,Bacabal/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2948,Bannach/PA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3215,Bela Vista do Maranhão/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3218,Bernardo do Mearim/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3220,Bom Jardim/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3221,Bom Jesus das Selvas/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3222,Bom Lugar/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3224,Brejo de Areia/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3227,Buriticupu/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,538,Caarapó/MS,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3231,Cajari/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5091,Campina do Simão/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5013,Campinorte/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5014,Campos Verdes/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2962,Canaã dos Carajás/PA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,1889,Capela do Alto/SP,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2683,Carmo do Rio Verde/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3839,Carnaubais/RN,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2849,Caroebe/RR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3240,Central do Maranhão/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2687,Ceres/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3085,Colinas do Tocantins/TO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3248,Conceição do Lago-Açu/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,4042,Coremas/PB,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,1915,Cravinhos/SP,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5031,Cumaru do Norte/PA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5115,Diamante do Sul/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,1923,Dirce Reis/SP,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5118,Douradina/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5119,Doutor Camargo/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3095,Dueré/TO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3254,Esperantinópolis/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,4877,Estrela do Norte/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,554,Fátima do Sul/MS,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2899,Feliz Natal/MT,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3098,Figueirópolis/TO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3258,Formosa da Serra Negra/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,4878,Formoso/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3260,Fortuna/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3267,Governador Newton Bello/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3270,Grajaú/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,4901,Guaraçaí/SP,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2717,Guaraíta/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2718,Guarinos/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2719,Heitoraí/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2721,Hidrolina/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5145,Icaraíma/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3274,Igarapé do Meio/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3275,Igarapé Grande/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5149,Indianópolis/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2003,Iperó/SP,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2726,Ipiranga de Goiás/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2730,Itaguaru/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3277,Itaipava do Grajaú/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5155,Itambé/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2731,Itapaci/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,2732,Itapirapuã/GO,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5159,Ivaté/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5160,Ivatuba/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3281,Jenipapo dos Vieiras/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3283,Joselândia/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5167,Juranda/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5168,Jussara/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3290,Lagoa Grande do Maranhão/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3285,Lago da Pedra/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3286,Lago do Junco/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3289,Lago dos Rodrigues/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3287,Lago Verde/MA,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,5170,Laranjal/PR,0.0
Recursos hídricos,28,Vazão ecológica para usos ecossistêmicos,2020,,Presente,verylow,Muito baixo,#02C650,3292,Lima Campos/MA,0.0
