tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2999,Oeiras do Pará/PA,0.19
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3253,Duque Bacelar/MA,0.18
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5502,Novo Airão/AM,0.18
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,1061,Gameleiras/MG,0.17
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,359,Pantano Grande/RS,0.17
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2985,Limoeiro do Ajuru/PA,0.16
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2271,Santa Rita do Passa Quatro/SP,0.16
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2868,Juruti/PA,0.15
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5458,Foz do Iguaçu/PR,0.14
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3099,Filadélfia/TO,0.12
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5499,Maués/AM,0.12
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,1782,Águas de São Pedro/SP,0.11
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5017,Flores de Goiás/GO,0.11
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5551,Campo Novo de Rondônia/RO,0.1
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5497,Manicoré/AM,0.09
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,1850,Boituva/SP,0.08
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3605,São Miguel da Baixa Grande/PI,0.08
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,4397,Branquinha/AL,0.07
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,4388,Anadia/AL,0.06
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3847,Parnamirim/RN,0.06
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3836,Canguaretama/RN,0.05
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,276,Guaporé/RS,0.05
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3901,Nísia Floresta/RN,0.05
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3049,Aguiarnópolis/TO,0.04
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,4874,Campinaçu/GO,0.04
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3510,Joca Marques/PI,0.04
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,4437,Marechal Deodoro/AL,0.04
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2975,Floresta do Araguaia/PA,0.02
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,4543,Porto da Folha/SE,0.02
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5539,Rio Crespo/RO,0.02
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,3825,Baía Formosa/RN,0.01
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2938,Abaetetuba/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2940,Acará/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2941,Água Azul do Norte/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5010,Alto Horizonte/GO,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5547,Alto Paraíso/RO,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2943,Ananindeua/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2890,Aripuanã/MT,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5522,Ariquemes/RO,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,4390,Atalaia/AL,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2861,Aveiro/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2946,Bagre/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2949,Barcarena/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2950,Belém/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2951,Benevides/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5470,Boa Vista do Ramos/AM,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5472,Borba/AM,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2957,Breves/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2958,Bujaru/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,2961,Cametá/PA,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5014,Campos Verdes/GO,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,5552,Candeias do Jamari/RO,0.0
Recursos hídricos,29,Segurança das barragens e da mineração,2020,,Presente,verylow,Muito baixo,#02C650,4404,Capela/AL,0.0
