tema,indicador_id,indicador,ano,cenario_id,cenario,faixa_id,faixa,faixa_cor,local_id,local_nome,valor
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3632,Aiuaba/CE,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3191,Aldeias Altas/MA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4574,América Dourada/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3988,Amparo/PB,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3420,Avelino Lopes/PI,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3422,Barra D'Alcântara/PI,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3217,Bequimão/MA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4599,Boa Vista do Tupim/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4231,Buíque/PE,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4627,Cardeal da Silva/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3462,Cocal dos Alves/PI,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3467,Coronel José Dias/PI,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3479,Dom Inocêncio/PI,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4055,Dona Inês/PB,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3096,Esperantina/TO,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4414,Estrela de Alagoas/AL,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4418,Girau do Ponciano/AL,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4674,Ibiquera/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3273,Icatu/MA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4687,Irajuba/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4309,Mirandiba/PE,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3745,Moraújo/CE,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4743,Morpará/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3538,Murici dos Portelas/PI,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3317,Palmeirândia/MA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3762,Parambu/CE,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4773,Pedro Alexandre/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4776,Pindobaçu/BA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3357,São Benedito do Rio Preto/MA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4474,São Brás/AL,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3362,São Félix de Balsas/MA,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4353,São Joaquim do Monte/PE,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3607,São Miguel do Tapuio/PI,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4486,Traipu/AL,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,2857,Uiramutã/RR,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3808,Uruoca/CE,0.19
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3194,Alto Alegre do Pindaré/MA,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3642,Ararendá/CE,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4001,Barra de Santana/PB,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4606,Brejolândia/BA,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,2959,Cachoeira do Piriá/PA,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4235,Caetés/PE,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4403,Canapi/AL,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,3454,Capitão Gervásio Oliveira/PI,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4649,Crisópolis/BA,0.18
Recursos hídricos,44,Renda superior a dois salários mínimos,2020,,Presente,verylow,Muito baixo,#F40000,4051,Damião/PB,0.18
